id,code,name,dpto_id/id
dpto_235,l10n_sv_dpto.13_17,San Carlos,l10n_sv_dpto.13
dpto_236,l10n_sv_dpto.13_18,San Fernando,l10n_sv_dpto.13
dpto_237,l10n_sv_dpto.13_19,San Francisco Gotera,l10n_sv_dpto.13
dpto_238,l10n_sv_dpto.13_20,San Isidro,l10n_sv_dpto.13
dpto_239,l10n_sv_dpto.13_21,San Simon,l10n_sv_dpto.13
dpto_240,l10n_sv_dpto.13_22,Sensembra,l10n_sv_dpto.13
dpto_241,l10n_sv_dpto.13_23,Sociedad,l10n_sv_dpto.13
dpto_242,l10n_sv_dpto.13_24,Torola,l10n_sv_dpto.13
dpto_243,l10n_sv_dpto.13_25,Yamabal,l10n_sv_dpto.13
dpto_244,l10n_sv_dpto.13_26,Yoloaiquin,l10n_sv_dpto.13
dpto_245,l10n_sv_dpto.14_1,Anamoros,l10n_sv_dpto.14
dpto_246,l10n_sv_dpto.14_2,Bolivar,l10n_sv_dpto.14
dpto_247,l10n_sv_dpto.14_3,Concep De Oriente,l10n_sv_dpto.14
dpto_248,l10n_sv_dpto.14_4,Conchagua,l10n_sv_dpto.14
dpto_249,l10n_sv_dpto.14_5,El Carmen,l10n_sv_dpto.14
dpto_250,l10n_sv_dpto.14_6,El Sauce,l10n_sv_dpto.14
dpto_251,l10n_sv_dpto.14_7,Intipuca,l10n_sv_dpto.14
dpto_252,l10n_sv_dpto.14_8,La Union,l10n_sv_dpto.14
dpto_253,l10n_sv_dpto.14_9,Lislique,l10n_sv_dpto.14
dpto_254,l10n_sv_dpto.14_10,Meang Del Golfo,l10n_sv_dpto.14
dpto_255,l10n_sv_dpto.14_11,Nueva Esparta,l10n_sv_dpto.14
dpto_256,l10n_sv_dpto.14_12,Pasaquina,l10n_sv_dpto.14
dpto_257,l10n_sv_dpto.14_13,Poloros,l10n_sv_dpto.14
dpto_258,l10n_sv_dpto.14_14,San Alejo,l10n_sv_dpto.14
dpto_259,l10n_sv_dpto.14_15,San Jose,l10n_sv_dpto.14
dpto_260,l10n_sv_dpto.14_16,Santa Rosa Lima,l10n_sv_dpto.14
dpto_261,l10n_sv_dpto.14_17,Yayantique,l10n_sv_dpto.14
dpto_262,l10n_sv_dpto.14_18,Yucuaiquin,l10n_sv_dpto.14
